preprocessamento,modelo,P_at_10,R_at_10,F1_at_10,MAP,MRR,NDCG_at_10
both,BM25,0.2431111111111111,0.40708694308978105,0.2747111041764982,0.31911000112004356,0.5509232927628637,0.38015748027171153
both,Vetorial (TF-IDF),0.2431111111111111,0.4023494005803087,0.2730886644152617,0.30749938667415755,0.5337800411754118,0.3674457068980451
stemming,BM25,0.23688888888888887,0.3966057002948128,0.2677377314252169,0.30669356169323836,0.5352849632843144,0.37065407555180047
stemming,Vetorial (TF-IDF),0.23377777777777778,0.38517374852720565,0.26167007882557786,0.2981749479426161,0.5162266153539457,0.35482384154018887
stopwords,BM25,0.23733333333333334,0.4013238327433374,0.26997626329703106,0.29575472615365983,0.5294168224895054,0.36558169240623545
stopwords,Vetorial (TF-IDF),0.22355555555555554,0.3704290479711016,0.25169588485629474,0.28381992281701085,0.516178302853789,0.34104272571638317
basico,BM25,0.2297777777777778,0.3875638859000572,0.2609665317954651,0.28206477475202596,0.5063318240119079,0.3493929258779833
basico,Vetorial (TF-IDF),0.22711111111111112,0.3711300704417319,0.25437140181106266,0.27780739482401845,0.505287590987274,0.3411392081261524
