k1,b,MAP,P@10,NDCG@10
0.5,0.0,0.2781246035292058,0.20844444444444443,0.33268637948856583
0.5,0.75,0.29764324826800076,0.22311111111111112,0.3565741653000021
0.5,1.0,0.29986639790691055,0.22488888888888892,0.3582328251640091
1.2,0.0,0.29064911721748526,0.21688888888888888,0.3462977464114548
1.2,0.75,0.3150197590133803,0.24,0.3742480809166941
1.2,1.0,0.31084521290035955,0.23911111111111114,0.37007421857710393
2.0,0.0,0.2989762876798388,0.22311111111111112,0.35876427750299145
2.0,0.75,0.3200737707285714,0.248,0.38469561003850117
2.0,1.0,0.3185572810125878,0.2426666666666667,0.37576965444831584
