query_id,ap_vetorial_so_texto,ap_bm25_so_texto
1,0.2863995144472768,0.22703948267099647
2,0.22264586756080892,0.22921446827028447
3,0.6559988179669032,0.6576236263736265
4,0.5769230769230769,0.532258064516129
5,0.1591743119266055,0.32587719298245615
6,0.1937815938150461,0.17982456140350878
7,0.1151770569741584,0.15790153028224574
8,0.18786699560577375,0.11853429104543457
9,1.0,0.8055555555555555
10,0.16632609194084602,0.16312697207719123
11,0.19481965280284608,0.18410551384619958
12,0.23239311352518902,0.3118548118548118
13,0.0,0.0
14,0.5909090909090909,0.5909090909090909
15,0.7,1.0
16,0.2175925925925926,0.20187590187590188
17,0.13275193798449614,0.07862281603288797
18,0.10518916155419222,0.3590840133919229
19,0.07076195046400556,0.07320884090329713
20,0.6252895310170853,0.5896684233640755
21,0.17309620204357049,0.05762960689822392
22,0.0,0.0
23,0.22326118857444807,0.216626581136941
24,0.4777777777777778,0.33125
25,0.5044542176895118,0.7079631950245985
26,0.21223544973544972,0.2068918867269912
27,0.07487318462928219,0.1346086652690426
28,0.0065069506063294875,0.005131142895861822
29,0.4019787985748165,0.44306093811373315
30,0.04635157663545397,0.06564518024274064
31,0.0009242144177449168,0.0009182736455463728
32,0.15802495396134972,0.15844238860268048
33,0.5888888888888889,0.6388888888888888
34,0.34874419874419876,0.2637527233115468
35,0.027966101694915257,0.023232323232323233
36,0.1271978021978022,0.5024937655860349
37,0.18235604181031773,0.0981958767096383
38,0.04017462791120881,0.048111788877735207
39,0.1947739472493613,0.14275352892754237
40,0.05944483787681795,0.10312368727782521
41,0.7777777777777778,0.8095238095238094
42,0.2163754045307443,0.18111431237465084
43,0.6678391053391053,0.5772096452424321
44,0.0,0.0
45,0.223575995464204,0.2054558996605411
46,0.32528065688271085,0.38419278161399517
47,0.3425220263305021,0.3881735863569665
48,0.17407159097347,0.19319187476620273
49,0.25925925925925924,0.10416666666666666
50,0.06342570104669881,0.10218482976530631
51,0.5433039028772618,0.5434073507141348
52,0.6916666666666667,0.5527777777777778
53,0.23205037262399714,0.26748395960060345
54,0.0936340414962037,0.14014034093847433
55,0.27780416887934084,0.33307390791855374
56,0.16268697129521872,0.16378494099776078
57,0.08646337638281543,0.08256726452841297
58,0.2094813000514755,0.149397007449789
59,0.21151642475171886,0.35605458399576045
60,0.4647018054951896,0.4439151996032731
61,0.5212406015037594,0.5329004329004329
62,0.03706412977959483,0.031090697405242396
63,0.03133080587148828,0.049933054508813336
64,0.7,0.5476190476190477
65,0.36102796591581154,0.24573605797559717
66,0.19274299344066786,0.11362168259742048
67,0.6158086519847604,0.5272553814568026
68,0.04891230559609137,0.050603398416465564
69,0.06316242703205255,0.03875908040727124
70,0.06517579054304884,0.08712141550239742
71,0.04283373095584173,0.0429420741541066
72,0.07513715340400877,0.10653489118012655
73,0.3054561087467972,0.3597068745588383
74,0.12794319226244108,0.13786981180490307
75,0.22155264258067991,0.03583220519764512
76,0.15392305230030265,0.19836867311446688
77,0.46777065527065514,0.36225192560405933
78,0.8055555555555555,0.7222222222222222
79,0.05492952077917772,0.0547540435970563
80,0.045964360587002095,0.016960838389409816
81,0.225,0.5
82,0.364094836246735,0.3621361152508693
83,0.08299946794360202,0.10810467479674796
84,0.3266297675388584,0.3977689420339754
85,0.01695503237493497,0.2624534354229437
86,0.7,0.5833333333333333
87,0.01274571356553434,0.011494910936470695
88,0.8551587301587301,0.6496031746031746
89,0.12720243821434296,0.14086701726448886
90,0.2793609084491252,0.2268946091530492
91,0.2933310032212459,0.3690177231605878
92,0.5673212211067049,0.4980458295513335
93,0.5,0.5
94,0.6105438664596273,0.5916845748834997
95,0.625,0.3333333333333333
96,0.3412708629784123,0.41199935223466855
97,0.11537827876645182,0.19341886436817715
98,0.018247239795202673,0.024968255382445313
99,0.2931818181818182,0.23690476190476192
100,0.2134480097182463,0.22710688878179042
101,0.8176767676767676,0.7875
102,0.43694063926940635,0.39666792881484286
103,0.014705882352941176,0.027777777777777776
104,0.07702791816587988,0.12226826641007191
105,0.42230875735548634,0.4447311827956989
106,0.3095666648033936,0.45277310924369746
107,0.25372305263289563,0.30352948734732665
108,0.7428880643166356,0.75139146567718
109,0.033288105714701824,0.036076661085707964
110,0.29954545454545456,0.15439412266264796
111,0.2412519623233909,0.2637277718104786
112,0.27702702702702703,0.3125
113,0.06828384588193709,0.1786235662148071
114,0.11170457642780691,0.08230180212963689
115,0.013857226865971553,0.05677540153442371
116,0.07690565892726392,0.061128300802213854
117,0.031947261663286,0.03518518518518518
118,0.16699462154007608,0.22551622418879058
119,1.0,1.0
120,0.4520245437081136,0.4472229005562339
121,0.5283317872603587,0.5048894557823129
122,0.2059379863539346,0.2958246140535806
123,0.10846560846560846,0.09401709401709402
124,0.004231293671550773,0.004461407974868752
125,0.3017695581905211,0.2681705431923709
126,0.22419427068602232,0.22008513806195307
127,0.13846611871293138,0.10602471547206423
128,0.018905021173623714,0.017970521541950113
129,0.2653479853479853,0.3842509699228914
130,0.4500286861732645,0.5114087301587301
131,0.29624999999999996,0.32056758600876245
132,0.6881705395498497,0.6994525370463548
133,0.1579547948211543,0.25192849901905146
134,0.21014492753623187,0.2708333333333333
135,0.6216275146422205,0.6145375457875457
136,0.11574074074074074,0.3975490196078431
137,0.23055555555555557,0.1879432624113475
138,0.10096153846153846,0.12941176470588237
139,0.0070199964478068035,0.008974350613419339
140,0.1248654661307203,0.1720598275392796
141,0.1310653899240856,0.1356800606800607
142,0.06666666666666667,0.09090909090909091
143,0.5,0.7
144,0.7244047619047619,0.41785714285714287
145,0.5695078664074844,0.28339434258551904
146,0.8333333333333333,0.5833333333333333
147,0.24550681004388028,0.25935847995999023
148,0.3908695191976925,0.21163981408596536
149,0.3537085048448685,0.38685082730537274
150,0.8333333333333333,0.8333333333333333
151,0.04063630219189511,0.03143047966090552
152,0.03955644746512034,0.023419546313201076
153,0.2747477927341149,0.3262900282064045
154,0.5833333333333333,0.8333333333333333
155,0.26850828729281767,0.182711395904008
156,0.5426219472018252,0.5278314530931104
157,0.39987390828177954,0.35133697940357783
158,0.27375749250749254,0.3887838468720822
159,0.10209937556267194,0.07858560176147694
160,0.03576838293358666,0.11944361521147817
161,0.46825136937366035,0.5348562683634392
162,0.1659015990602225,0.22770853764846902
163,0.22328918322295807,0.24145299145299146
164,0.40347427116262735,0.4586065390963022
165,0.5,0.5833333333333333
166,0.021742506774884474,0.03941055973501798
167,0.08116883116883117,0.41666666666666663
168,0.25,0.11904761904761904
169,0.17100399600399602,0.29625382262996947
170,0.4904040404040404,0.5702861952861952
171,0.4666666666666666,0.6388888888888888
172,0.6791666666666667,0.6791666666666667
173,0.5833333333333333,1.0
174,0.15308450170519133,0.07976769781759188
175,0.05407696486023483,0.05778930882323898
176,0.06516981744349247,0.07729064795748276
177,0.7269230769230769,0.6722222222222223
178,0.5770833333333333,0.5102564102564102
179,0.30152616279069766,0.3421258960573476
180,0.36868131868131865,0.4503941672362725
181,0.25088825197007736,0.26648123949971997
182,0.5833333333333333,0.5833333333333333
183,0.6347332428656153,0.6268914742779252
184,0.15826714799289096,0.3189049206751369
185,0.802209772798008,0.8247100122100122
186,0.2357005531477378,0.16721561620442518
187,0.11044290056448113,0.1970756241623192
188,0.41783028707581127,0.41110305483896836
189,0.1290621065754688,0.13896071729865944
190,0.26926406926406926,0.3906549364613881
191,0.5731025217882162,0.3762845320314361
192,0.471078431372549,0.5125
193,0.7350605120720062,0.8317592900926234
194,0.18954777661674213,0.18714445276945277
195,0.07404042698160344,0.09444444444444444
196,0.1781816209811928,0.14414603255479916
197,0.7777777777777778,0.6222222222222221
198,0.48306010928961746,0.5976870078740157
199,0.11074239232833857,0.1158768662113807
200,0.18258486190174994,0.23781676413255362
201,0.29231624305985254,0.3086005058618634
202,0.2732993330165204,0.21675210669092793
203,0.12236947743205732,0.13361883159663882
204,0.08757487184530253,0.04338907264499685
205,0.39285714285714285,0.7
206,0.07663666121112929,0.20854700854700856
207,0.34310365560365563,0.21547791046243062
208,0.6299603174603174,0.7027777777777778
209,0.1926963981627365,0.14682553738535792
210,0.3285657035437544,0.3384812050856827
211,0.13931435812031334,0.13673357603365252
212,0.4884003144958879,0.5019600253699048
213,0.5458036722187665,0.5943162725220129
214,0.10907726543497387,0.11520130886328069
215,0.041050903119868636,0.05325814536340852
216,0.002066115702479339,0.0027100271002710027
217,0.2627610340787478,0.31385944310325053
218,0.2818508062284532,0.33324458501797455
219,0.08006287391889824,0.03844628291092191
220,0.16746859271044753,0.22391118482674535
221,0.22934294708760986,0.23233180590664665
222,0.6766534391534392,0.7683057683057685
223,0.4678265672466169,0.5851851851851851
224,0.11123087640087133,0.14112827246167467
225,0.11549532780332683,0.08738326180374927
