k1,b,query_id,ap,precision_at_10,ndcg_at_10
0.5,0.0,1,0.15077162027037777,0.4,0.27013658584871253
0.5,0.0,2,0.23237581843469254,0.4,0.5115157104836705
0.5,0.0,3,0.5946035395763657,0.5,0.6582450939840574
0.5,0.0,4,0.5192307692307693,0.1,0.6131471927654584
0.5,0.0,5,0.5592105263157894,0.3,0.6469626813039951
0.5,0.0,6,0.11964285714285713,0.1,0.16331296355715133
0.5,0.0,7,0.13483523410131082,0.2,0.24174372856281692
0.5,0.0,8,0.13899210144262547,0.1,0.2669507571941387
0.5,0.0,9,0.5888888888888889,0.3,0.7122630665145961
0.5,0.0,10,0.11017609318760817,0.1,0.1323000828051301
0.5,0.0,11,0.1370961285174434,0.1,0.11491284766333976
0.5,0.0,12,0.23735862227616353,0.2,0.2824250218253186
0.5,0.0,13,0.0,0.0,0.0
0.5,0.0,14,0.5588235294117647,0.1,0.8637574337885663
0.5,0.0,15,0.75,0.2,0.7074887171046738
0.5,0.0,16,0.13782928268683942,0.1,0.19004688335796713
0.5,0.0,17,0.03742283950617284,0.0,0.0
0.5,0.0,18,0.3535045478865704,0.1,0.4692787260227565
0.5,0.0,19,0.05471173341231531,0.1,0.14964946252569797
0.5,0.0,20,0.4004767947891887,0.5,0.5091406296930572
0.5,0.0,21,0.03037276562628543,0.0,0.0
0.5,0.0,22,0.0,0.0,0.0
0.5,0.0,23,0.17488349055182162,0.3,0.2163805501817991
0.5,0.0,24,0.35507246376811596,0.2,0.540460348067574
0.5,0.0,25,0.6759019263743304,0.6,0.7916559765390343
0.5,0.0,26,0.1517130874239954,0.2,0.3072700862747648
0.5,0.0,27,0.24825870646766168,0.2,0.4046200745585114
0.5,0.0,28,0.004063110752407403,0.0,0.0
0.5,0.0,29,0.3555555751288806,0.4,0.3811654134828034
0.5,0.0,30,0.2215904543635636,0.2,0.409144786413003
0.5,0.0,31,0.0008976660682226212,0.0,0.0
0.5,0.0,32,0.04849267172131282,0.1,0.04854647519781679
0.5,0.0,33,0.6388888888888888,0.3,0.715746045301212
0.5,0.0,34,0.2649305555555556,0.2,0.23643704028587598
0.5,0.0,35,0.03886152162014231,0.0,0.0
0.5,0.0,36,0.5025906735751295,0.1,0.46927872602275644
0.5,0.0,37,0.052397237753780725,0.0,0.0
0.5,0.0,38,0.05970439846287284,0.1,0.08240610333670606
0.5,0.0,39,0.15568904416657992,0.2,0.3325222645885648
0.5,0.0,40,0.1330160578175551,0.2,0.15996433755220654
0.5,0.0,41,0.7666666666666666,0.3,0.8785263483723003
0.5,0.0,42,0.11969084224598932,0.1,0.08880550569047355
0.5,0.0,43,0.3791234769958174,0.2,0.5519173917871053
0.5,0.0,44,0.0,0.0,0.0
0.5,0.0,45,0.19392789701330182,0.2,0.35208887506004277
0.5,0.0,46,0.4315011831308774,0.6,0.6310016761646706
0.5,0.0,47,0.40739327056410773,0.5,0.5176607840068188
0.5,0.0,48,0.3274942622589327,0.4,0.43546521550337414
0.5,0.0,49,0.059343434343434344,0.0,0.0
0.5,0.0,50,0.028127135678136597,0.0,0.0
0.5,0.0,51,0.31457664003523134,0.4,0.3015557542098532
0.5,0.0,52,0.22976190476190475,0.3,0.33255085229022124
0.5,0.0,53,0.3033109399577269,0.2,0.2872635432889367
0.5,0.0,54,0.1476673543149002,0.1,0.16868158409931971
0.5,0.0,55,0.16060124978225943,0.2,0.13216722102548303
0.5,0.0,56,0.12261029538345913,0.2,0.17504020290384825
0.5,0.0,57,0.07149928502935854,0.1,0.11676437857730142
0.5,0.0,58,0.084169597179878,0.1,0.12108270501347645
0.5,0.0,59,0.12205329297376627,0.2,0.21938551058607356
0.5,0.0,60,0.31680288638539134,0.3,0.4078403047440142
0.5,0.0,61,0.41116797110174585,0.2,0.46100432633705324
0.5,0.0,62,0.02172210471115475,0.0,0.0
0.5,0.0,63,0.04744832041343669,0.0,0.0
0.5,0.0,64,0.5144927536231884,0.1,0.6787956981029196
0.5,0.0,65,0.09717853691613643,0.1,0.09642731254500748
0.5,0.0,66,0.05440843521215286,0.1,0.12571914728447503
0.5,0.0,67,0.1668870938490467,0.2,0.17580953239526728
0.5,0.0,68,0.06574767915581378,0.1,0.1449922944606284
0.5,0.0,69,0.03906105963583414,0.1,0.12143888304042887
0.5,0.0,70,0.11091254454945117,0.2,0.17241006028698228
0.5,0.0,71,0.10272741272660163,0.1,0.20544765295955178
0.5,0.0,72,0.07404074358050361,0.1,0.141137236325899
0.5,0.0,73,0.36982914399407624,0.7,0.756116321280994
0.5,0.0,74,0.17848361158662665,0.1,0.26785287576497296
0.5,0.0,75,0.01870281807830909,0.0,0.0
0.5,0.0,76,0.13641015725347416,0.2,0.25527379933599564
0.5,0.0,77,0.31457193205920864,0.2,0.2583214668631552
0.5,0.0,78,0.8095238095238094,0.3,0.8665103888067762
0.5,0.0,79,0.043613369881853145,0.1,0.06888798605498088
0.5,0.0,80,0.0075653305359413,0.0,0.0
0.5,0.0,81,0.7,0.2,0.5500863464779522
0.5,0.0,82,0.13777365491651206,0.2,0.20375825167921363
0.5,0.0,83,0.1652712724434036,0.1,0.24630238874072996
0.5,0.0,84,0.3779613779142382,0.3,0.3091374501528729
0.5,0.0,85,0.13607983969364768,0.1,0.16273360041832377
0.5,0.0,86,0.45,0.2,0.6240505200038379
0.5,0.0,87,0.010341713422168396,0.0,0.0
0.5,0.0,88,0.6496031746031746,0.6,0.7097158896509913
0.5,0.0,89,0.15639611347724916,0.2,0.23728712606488594
0.5,0.0,90,0.21647102360020612,0.3,0.23461707163287784
0.5,0.0,91,0.4195371212887136,0.4,0.616587489666471
0.5,0.0,92,0.4027200247122792,0.5,0.2844946463943971
0.5,0.0,93,0.5,0.1,0.6309297535714575
0.5,0.0,94,0.536477618778128,0.5,0.48418702874182523
0.5,0.0,95,0.39285714285714285,0.2,0.42416171080762244
0.5,0.0,96,0.4924279681529281,0.7,0.5819895845435762
0.5,0.0,97,0.21342978459666967,0.3,0.2939091895175743
0.5,0.0,98,0.02031650917933234,0.0,0.0
0.5,0.0,99,0.2857142857142857,0.2,0.471535652823272
0.5,0.0,100,0.25019749232329547,0.3,0.37082049434891856
0.5,0.0,101,0.5556489262371616,0.5,0.6208538542035211
0.5,0.0,102,0.0976761933157282,0.1,0.08220970865780867
0.5,0.0,103,0.08333333333333333,0.1,0.21840743681816419
0.5,0.0,104,0.1492053264604811,0.1,0.21398626473452756
0.5,0.0,105,0.45162855162855164,0.3,0.5552890378762663
0.5,0.0,106,0.37893719806763293,0.3,0.5094544037628329
0.5,0.0,107,0.26306699760685126,0.2,0.2911221088779503
0.5,0.0,108,0.7412698412698413,0.5,0.763082478867569
0.5,0.0,109,0.03766211648978841,0.0,0.0
0.5,0.0,110,0.042698058416445854,0.0,0.0
0.5,0.0,111,0.23809217098690785,0.1,0.13414149323565872
0.5,0.0,112,0.3125,0.1,0.23981246656813146
0.5,0.0,113,0.04811411639528443,0.0,0.0
0.5,0.0,114,0.04640627817298589,0.1,0.16273360041832377
0.5,0.0,115,0.03978087157096961,0.1,0.13713911070367868
0.5,0.0,116,0.06082028845861759,0.1,0.0801670766916255
0.5,0.0,117,0.02690501986276634,0.0,0.0
0.5,0.0,118,0.2837301587301587,0.2,0.44876780023132046
0.5,0.0,119,0.5,0.1,0.6309297535714575
0.5,0.0,120,0.32665948856863536,0.3,0.35762683824083114
0.5,0.0,121,0.5066246415083624,0.5,0.6056196918142899
0.5,0.0,122,0.2157391960469728,0.3,0.13790051683820093
0.5,0.0,123,0.07333333333333333,0.0,0.0
0.5,0.0,124,0.0038223004152283073,0.0,0.0
0.5,0.0,125,0.19885442314257346,0.3,0.30141875782089467
0.5,0.0,126,0.2617524507552796,0.2,0.5129861293403476
0.5,0.0,127,0.13173471181771435,0.2,0.25759545730022737
0.5,0.0,128,0.014016676250718804,0.0,0.0
0.5,0.0,129,0.3808161630258252,0.4,0.5329860905668825
0.5,0.0,130,0.35196681580909767,0.2,0.44492648100773236
0.5,0.0,131,0.2644262566137566,0.2,0.11423492471659061
