query_id,modelo,doc_fonte,posicao
85,BM25,546,166.0
86,Vetorial (TF-IDF),755,1.0
86,BM25,755,1.0
87,Vetorial (TF-IDF),547,3.0
87,BM25,547,1.0
88,Vetorial (TF-IDF),548,2.0
88,BM25,548,1.0
89,Vetorial (TF-IDF),757,14.0
89,BM25,757,2.0
90,Vetorial (TF-IDF),757,67.0
90,BM25,757,40.0
91,Vetorial (TF-IDF),757,173.0
91,BM25,757,171.0
92,Vetorial (TF-IDF),758,1.0
92,BM25,758,2.0
93,Vetorial (TF-IDF),635,1.0
93,BM25,635,1.0
94,Vetorial (TF-IDF),635,57.0
94,BM25,635,32.0
95,Vetorial (TF-IDF),635,1.0
95,BM25,635,1.0
96,Vetorial (TF-IDF),637,1.0
96,BM25,637,1.0
97,Vetorial (TF-IDF),637,88.0
97,BM25,637,120.0
98,Vetorial (TF-IDF),638,1.0
98,BM25,638,1.0
99,Vetorial (TF-IDF),639,1.0
99,BM25,639,1.0
100,Vetorial (TF-IDF),760,1.0
100,BM25,760,1.0
101,Vetorial (TF-IDF),760,7.0
101,BM25,760,4.0
102,Vetorial (TF-IDF),729,4.0
102,BM25,729,2.0
103,Vetorial (TF-IDF),761,1.0
103,BM25,761,1.0
104,Vetorial (TF-IDF),762,1.0
104,BM25,762,1.0
105,Vetorial (TF-IDF),764,2.0
105,BM25,764,2.0
106,Vetorial (TF-IDF),764,7.0
106,BM25,764,2.0
107,Vetorial (TF-IDF),640,1.0
107,BM25,640,1.0
108,Vetorial (TF-IDF),640,10.0
108,BM25,640,8.0
109,Vetorial (TF-IDF),766,20.0
109,BM25,766,26.0
110,Vetorial (TF-IDF),766,111.0
110,BM25,766,84.0
111,Vetorial (TF-IDF),894,1.0
111,BM25,894,1.0
112,Vetorial (TF-IDF),641,1.0
112,BM25,641,1.0
113,Vetorial (TF-IDF),643,201.0
113,BM25,643,206.0
114,Vetorial (TF-IDF),895,1.0
114,BM25,895,1.0
115,Vetorial (TF-IDF),184,2.0
115,BM25,184,1.0
116,Vetorial (TF-IDF),896,426.0
116,BM25,896,423.0
117,Vetorial (TF-IDF),896,541.0
117,BM25,896,519.0
118,Vetorial (TF-IDF),896,447.0
118,BM25,896,437.0
119,Vetorial (TF-IDF),897,3.0
119,BM25,897,7.0
120,Vetorial (TF-IDF),769,1.0
120,BM25,769,1.0
121,Vetorial (TF-IDF),769,3.0
121,BM25,769,1.0
122,Vetorial (TF-IDF),898,1.0
122,BM25,898,1.0
123,Vetorial (TF-IDF),941,1.0
123,BM25,941,1.0
124,Vetorial (TF-IDF),941,1.0
124,BM25,941,1.0
125,Vetorial (TF-IDF),942,913.0
125,BM25,942,901.0
126,Vetorial (TF-IDF),942,20.0
126,BM25,942,24.0
127,Vetorial (TF-IDF),944,7.0
127,BM25,944,7.0
128,Vetorial (TF-IDF),945,1.0
128,BM25,945,1.0
129,Vetorial (TF-IDF),945,1.0
129,BM25,945,1.0
130,Vetorial (TF-IDF),948,1.0
130,BM25,948,2.0
131,Vetorial (TF-IDF),950,2.0
131,BM25,950,1.0
132,Vetorial (TF-IDF),950,12.0
132,BM25,950,3.0
133,Vetorial (TF-IDF),950,12.0
133,BM25,950,1.0
134,Vetorial (TF-IDF),951,1.0
134,BM25,951,1.0
135,Vetorial (TF-IDF),951,7.0
135,BM25,951,7.0
136,Vetorial (TF-IDF),951,2.0
136,BM25,951,2.0
137,Vetorial (TF-IDF),952,1.0
137,BM25,952,1.0
138,Vetorial (TF-IDF),953,1.0
138,BM25,953,1.0
139,Vetorial (TF-IDF),953,2.0
139,BM25,953,7.0
140,Vetorial (TF-IDF),954,1.0
140,BM25,954,1.0
141,Vetorial (TF-IDF),954,39.0
141,BM25,954,64.0
142,Vetorial (TF-IDF),954,1.0
142,BM25,954,1.0
143,Vetorial (TF-IDF),954,9.0
143,BM25,954,16.0
144,Vetorial (TF-IDF),955,2.0
144,BM25,955,1.0
145,Vetorial (TF-IDF),955,16.0
145,BM25,955,19.0
146,Vetorial (TF-IDF),955,2.0
146,BM25,955,1.0
147,Vetorial (TF-IDF),956,2.0
147,BM25,956,1.0
148,Vetorial (TF-IDF),956,3.0
148,BM25,956,2.0
149,Vetorial (TF-IDF),957,11.0
149,BM25,957,11.0
150,Vetorial (TF-IDF),1062,1.0
150,BM25,1062,2.0
151,Vetorial (TF-IDF),1062,1.0
151,BM25,1062,7.0
152,Vetorial (TF-IDF),1062,13.0
152,BM25,1062,35.0
153,Vetorial (TF-IDF),1063,1.0
153,BM25,1063,1.0
154,Vetorial (TF-IDF),1063,9.0
154,BM25,1063,7.0
155,Vetorial (TF-IDF),1065,3.0
155,BM25,1065,1.0
156,Vetorial (TF-IDF),1065,6.0
156,BM25,1065,4.0
157,Vetorial (TF-IDF),1006,1.0
157,BM25,1006,2.0
158,Vetorial (TF-IDF),1006,
158,BM25,1006,
159,Vetorial (TF-IDF),1066,1.0
159,BM25,1066,1.0
160,Vetorial (TF-IDF),1071,1.0
160,BM25,1071,1.0
161,Vetorial (TF-IDF),489,50.0
161,BM25,489,14.0
162,Vetorial (TF-IDF),489,40.0
162,BM25,489,8.0
163,Vetorial (TF-IDF),492,1.0
163,BM25,492,1.0
164,Vetorial (TF-IDF),503,2.0
164,BM25,503,4.0
165,Vetorial (TF-IDF),504,1.0
165,BM25,504,1.0
166,Vetorial (TF-IDF),504,1.0
166,BM25,504,1.0
167,Vetorial (TF-IDF),509,137.0
167,BM25,509,116.0
168,Vetorial (TF-IDF),750,1.0
168,BM25,750,1.0
169,Vetorial (TF-IDF),750,1.0
169,BM25,750,1.0
170,Vetorial (TF-IDF),893,2.0
170,BM25,893,3.0
171,Vetorial (TF-IDF),516,1.0
171,BM25,516,1.0
172,Vetorial (TF-IDF),527,3.0
172,BM25,527,3.0
173,Vetorial (TF-IDF),532,1.0
173,BM25,532,3.0
174,Vetorial (TF-IDF),533,3.0
174,BM25,533,8.0
175,Vetorial (TF-IDF),941,1.0
175,BM25,941,1.0
176,Vetorial (TF-IDF),542,2.0
176,BM25,542,1.0
177,Vetorial (TF-IDF),543,4.0
177,BM25,543,5.0
178,Vetorial (TF-IDF),543,4.0
178,BM25,543,6.0
179,Vetorial (TF-IDF),633,1.0
179,BM25,633,1.0
180,Vetorial (TF-IDF),548,1.0
180,BM25,548,1.0
181,Vetorial (TF-IDF),942,875.0
181,BM25,942,860.0
182,Vetorial (TF-IDF),634,1.0
182,BM25,634,1.0
183,Vetorial (TF-IDF),758,2.0
183,BM25,758,3.0
184,Vetorial (TF-IDF),639,55.0
184,BM25,639,72.0
185,Vetorial (TF-IDF),948,13.0
185,BM25,948,11.0
186,Vetorial (TF-IDF),1188,144.0
186,BM25,1188,110.0
187,Vetorial (TF-IDF),763,1.0
187,BM25,763,1.0
188,Vetorial (TF-IDF),640,6.0
188,BM25,640,2.0
189,Vetorial (TF-IDF),767,1.0
189,BM25,767,1.0
190,Vetorial (TF-IDF),894,27.0
190,BM25,894,38.0
191,Vetorial (TF-IDF),894,14.0
191,BM25,894,4.0
192,Vetorial (TF-IDF),641,1.0
192,BM25,641,1.0
193,Vetorial (TF-IDF),641,4.0
193,BM25,641,5.0
194,Vetorial (TF-IDF),642,1.0
194,BM25,642,1.0
195,Vetorial (TF-IDF),642,1.0
195,BM25,642,1.0
196,Vetorial (TF-IDF),184,2.0
196,BM25,184,1.0
197,Vetorial (TF-IDF),768,5.0
197,BM25,768,4.0
198,Vetorial (TF-IDF),769,9.0
198,BM25,769,13.0
199,Vetorial (TF-IDF),957,38.0
199,BM25,957,42.0
200,Vetorial (TF-IDF),1071,1.0
200,BM25,1071,1.0
201,Vetorial (TF-IDF),1140,250.0
201,BM25,1140,318.0
202,Vetorial (TF-IDF),1285,1.0
202,BM25,1285,1.0
203,Vetorial (TF-IDF),1285,2.0
203,BM25,1285,1.0
204,Vetorial (TF-IDF),1285,211.0
204,BM25,1285,259.0
205,Vetorial (TF-IDF),1287,1.0
205,BM25,1287,2.0
206,Vetorial (TF-IDF),1290,1.0
206,BM25,1290,1.0
207,Vetorial (TF-IDF),1290,2.0
207,BM25,1290,1.0
208,Vetorial (TF-IDF),1291,1.0
208,BM25,1291,1.0
209,Vetorial (TF-IDF),1292,977.0
209,BM25,1292,965.0
210,Vetorial (TF-IDF),1145,3.0
210,BM25,1145,2.0
211,Vetorial (TF-IDF),1145,17.0
211,BM25,1145,6.0
212,Vetorial (TF-IDF),1146,7.0
212,BM25,1146,17.0
213,Vetorial (TF-IDF),1146,1.0
213,BM25,1146,5.0
214,Vetorial (TF-IDF),1294,1.0
214,BM25,1294,1.0
215,Vetorial (TF-IDF),535,1.0
215,BM25,535,1.0
216,Vetorial (TF-IDF),506,53.0
216,BM25,506,22.0
217,Vetorial (TF-IDF),1191,112.0
217,BM25,1191,95.0
218,Vetorial (TF-IDF),1191,177.0
218,BM25,1191,195.0
219,Vetorial (TF-IDF),1191,12.0
219,BM25,1191,27.0
220,Vetorial (TF-IDF),1182,21.0
220,BM25,1182,12.0
221,Vetorial (TF-IDF),1182,11.0
221,BM25,1182,5.0
222,Vetorial (TF-IDF),1396,6.0
222,BM25,1396,4.0
223,Vetorial (TF-IDF),1396,17.0
223,BM25,1396,7.0
224,Vetorial (TF-IDF),1286,2.0
224,BM25,1286,3.0
225,Vetorial (TF-IDF),1188,1.0
225,BM25,1188,1.0
