query_id,descricao,consulta_original,consulta_modificada,overlap_top10_vetorial,AP_vetorial_original,AP_vetorial_modificada,P10_vetorial_original,P10_vetorial_modificada,saiu_top10_vetorial,entrou_top10_vetorial,overlap_top10_bm25,AP_bm25_original,AP_bm25_modificada,P10_bm25_original,P10_bm25_modificada,saiu_top10_bm25,entrou_top10_bm25
1,Reformulação com termos técnicos (expansão + substituição),"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",what dynamic scale similarity laws govern wind tunnel testing of thermo-aeroelastic heated high speed structures .,5,0.287339797875003,0.20864461311976837,0.5,0.5,51 878 573 665 879,141 876 13 516 874,5,0.24250395857607757,0.1740505307896323,0.4,0.4,51 878 573 746 665,876 874 516 790 1305
3,Tornando a consulta mais específica,"what problems of heat conduction in composite slabs have been solved so
far .",analytical transient temperature distribution and heat conduction problems in multilayer composite slabs .,9,0.6775268440709618,0.6727678571428571,0.7,0.7,579,981,8,0.6888392857142858,0.7751872119815667,0.7,0.7,579 542,981 582
15,Remoção de termo repetido + termos mais específicos,material properties of photoelastic materials .,mechanical and optical properties of photoelastic specimens .,3,0.75,1.0,0.2,0.2,761 1025 1340 553 1043 542 866,507 881 1257 836 767 1098 466,3,1.0,1.0,0.2,0.2,1025 1340 82 1097 1096 553 761,881 767 466 580 1257 836 722
95,Generalização (termo específico -> classe mais ampla),what is the theoretical heat transfer distribution around a hemisphere .,theoretical heat transfer distribution around aerodynamic blunt bodies in hypersonic flow .,3,0.3333333333333333,0.15357142857142858,0.2,0.1,635 662 1191 1258 689 370 628,670 655 36 666 1394 295 559,3,0.41666666666666663,0.3088235294117647,0.2,0.1,635 662 1258 1191 689 628 554,36 1394 655 1213 572 294 295
173,Remoção de termos de contexto (foco nos termos centrais),"references on lyapunov's method on the stability of linear
differential equations with periodic coefficients .",lyapunov stability linear differential equations periodic .,9,0.5833333333333333,0.5833333333333333,0.2,0.2,1086,931,7,0.8333333333333333,0.8333333333333333,0.2,0.2,767 1054 813,931 515 1119
