query_id,ap_vetorial_so_texto,ap_bm25_so_texto
1,0.2735694114149132,0.22703948267099647
2,0.2477174221267456,0.22921446827028447
3,0.6673458485958487,0.6576236263736265
4,0.5476190476190477,0.532258064516129
5,0.25972222222222224,0.32587719298245615
6,0.11004299754299755,0.17982456140350878
7,0.1573091622015263,0.15790153028224574
8,0.14945721173757953,0.11853429104543457
9,0.9166666666666666,0.8055555555555555
10,0.16558531129938597,0.16312697207719123
11,0.1655038750450705,0.18410551384619958
12,0.36827508854781577,0.3118548118548118
13,0.0,0.0
14,0.625,0.5909090909090909
15,0.75,1.0
16,0.18973856209150328,0.20187590187590188
17,0.5084745762711864,0.07862281603288797
18,0.10149231315365499,0.3590840133919229
19,0.05352756021249287,0.07320884090329713
20,0.6123737373737373,0.5896684233640755
21,0.11419754232254233,0.05762960689822392
22,0.0,0.0
23,0.24235209378056616,0.216626581136941
24,0.31960784313725493,0.33125
25,0.6458135365048724,0.7079631950245985
26,0.16038109724550403,0.2068918867269912
27,0.09037247474747474,0.1346086652690426
28,0.006046158098396905,0.005131142895861822
29,0.48710754015632063,0.44306093811373315
30,0.056191506560221205,0.06564518024274064
31,0.0009328358208955224,0.0009182736455463728
32,0.16716314731020612,0.15844238860268048
33,0.5888888888888889,0.6388888888888888
34,0.2438303526538821,0.2637527233115468
35,0.026103026103026103,0.023232323232323233
36,0.25202020202020203,0.5024937655860349
37,0.16695423377524213,0.0981958767096383
38,0.03287397727703204,0.048111788877735207
39,0.14153102254148037,0.14275352892754237
40,0.046064247681529474,0.10312368727782521
41,0.7777777777777778,0.8095238095238094
42,0.1951190476190476,0.18111431237465084
43,0.6562742812742812,0.5772096452424321
44,0.0,0.0
45,0.20901381536777275,0.2054558996605411
46,0.2998455808787416,0.38419278161399517
47,0.3584760144310767,0.3881735863569665
48,0.18092695794231242,0.19319187476620273
49,0.27040816326530615,0.10416666666666666
50,0.18667426377706753,0.10218482976530631
51,0.5434916068006354,0.5434073507141348
52,0.7708333333333333,0.5527777777777778
53,0.30683267468916553,0.26748395960060345
