preprocessamento,modelo,P_at_10,R_at_10,F1_at_10,MAP,MRR,NDCG_at_10
both,BM25,0.2431111111111111,0.40708694308978105,0.2747111041764982,0.31911000112004356,0.5509232927628637,0.38015748027171153
both,Vetorial (TF-IDF),0.24266666666666667,0.41468532537675984,0.27613005608408686,0.30982242717401237,0.5299979448243447,0.37344180726104387
stemming,BM25,0.23688888888888887,0.3966057002948128,0.2677377314252169,0.30669356169323836,0.5352849632843144,0.37065407555180047
stemming,Vetorial (TF-IDF),0.23955555555555555,0.4081271942329734,0.2725196465727981,0.3025963272399951,0.5251244598792457,0.3667555660072812
stopwords,BM25,0.23733333333333334,0.4013238327433374,0.26997626329703106,0.29575472615365983,0.5294168224895054,0.36558169240623545
stopwords,Vetorial (TF-IDF),0.2288888888888889,0.37956984417562334,0.258377697472403,0.29023140338474335,0.5183421864191603,0.3499741474772006
basico,BM25,0.2297777777777778,0.3875638859000572,0.2609665317954651,0.28206477475202596,0.5063318240119079,0.3493929258779833
basico,Vetorial (TF-IDF),0.22177777777777777,0.3702915396055231,0.25115285584146435,0.2816759520051896,0.5089415865860479,0.34146989136402095
